feedback_date,feedback_content,label,scene
2025-05-10 21:18:39,他一段一段的不清楚，不知道怎么读。,朗读不自然,
2025-05-11 12:38:38,有你先读一句然后我再读一句。,朗读功能优化,希望改进朗读功能，辅助跟读学习
2025-05-11 15:04:38,点出一个单词自动播放语音,朗读功能优化,学习单词，听发音辅助记忆
2025-05-11 15:38:00,每个都要有音频播放,朗读功能优化,希望每个翻译结果都有音频播放
2025-05-11 16:28:08,杨林的发音不标准 是杨林 不是杨丽,发音不准确,
2025-05-11 20:25:42,我拍了这个英语书本然后呢点这个单词的时候不读书的声音,朗读功能优化,学习单词发音，辅助记忆
2025-05-11 22:02:18,明明是一句句子，他读成了单词。,朗读不自然,
2025-05-12 18:50:43,第2幅图和第3幅图读错了，应该是先读Is this a ball，Sam？在读I thinK  so.在读Lets  play.在读Ouch！ Whats the matter？最后读My hand hurts.,发音不准确,
2025-05-13 18:29:42,我觉得再加上读就好了，就是整体读别去自己去翻译完了再加上。写。,朗读功能优化,希望改进朗读功能，提升体验
2025-05-13 20:23:06,希望真人读不是小猿机器人读。,朗读不自然,
2025-05-13 20:24:28,根本没有按顺序在读。,朗读卡顿重复,
2025-05-14 21:39:04,可以点那个字母，然后呢？可以读的,朗读功能优化,希望改进朗读功能，点击字母朗读
2025-05-15 20:46:42,点读的时候，读的跟书上不一样。,发音不准确,
2025-05-15 20:49:38,很好，语速有点快，希望慢一点,朗读速度问题,
2025-05-15 21:24:28,发音不准确，发音不完整，文字识别有误,发音不准确,
2025-05-15 21:53:42,建议可以在拍照后有点读评分，可以读,朗读功能优化,学习发音，提升口语能力
2025-05-16 21:29:16,"不知道怎么读
这个字，教一教？",发音不准确,
2025-05-17 11:40:53,英语单词电子朗读的词语，这个英语单词读的不对,发音不准确,
2025-05-17 15:12:15,翻译的时候中中文英语都要读,朗读功能优化,希望中英文都能朗读
2025-05-17 20:26:38,我认为可以再添加一个翻译后的点读,朗读功能优化,翻译后点读，辅助发音学习
2025-05-18 16:38:11,读的太快，没有停顿,朗读速度问题,
2025-05-19 18:53:01,原文点读发不出声音,朗读不自然,
2025-05-19 19:13:43,选的全文阅读有的读的不清楚。😭😭😭,朗读不自然,
2025-05-19 20:04:16,tⅰme不读TIME,发音不准确,
2025-05-19 21:16:54,读到一半不读了不知道怎么回事啊,朗读卡顿重复,
2025-05-20 09:38:51,怎么没有声音？我一直说他就说发音不准确，而且是咋回事说你们想不想要投诉，我现在就投诉你们,发音不准确,
2025-05-20 12:46:33,有病，点进去不会读，一看就是犯病了。,朗读不自然,
2025-05-20 20:44:13,他那个连续播放就是我以为是只播放一个的话，那就我想只播放一个就播放不了，再连续播放，希望你们可以改进一下。然后其他就没啥了嘛，然后其他的,朗读卡顿重复,
2025-05-21 19:14:21,翻译的别这么人机,朗读不自然,
2025-05-21 21:04:15,读音不标准，没有以前的好,发音不准确,
2025-05-21 21:51:03,有些人机哈，没有感情，人名不怎刘利,朗读不自然,
2025-05-21 22:13:53,"声音难听换一个声音
",朗读不自然,
2025-05-22 17:05:51,请喝一杯茶/咖啡，of tea 没有读,朗读不自然,
2025-05-22 19:34:40,声音听都听不到，不知道是我们给他读还是他给我们读，我们声音都放到最大了，也听不到一点声音,朗读不自然,
2025-05-22 20:43:01,能不能让他读到按顺序读？不要按，他自己理解的都行不行？,朗读不自然,
2025-05-24 10:25:43,朗读声音太难听了,朗读不自然,
2025-05-24 11:06:03,你们是有的不播放不好,朗读不自然,
2025-05-24 11:09:52,播放的音频不到位而且易常,朗读不自然,
2025-05-24 19:17:20,没有按顺序播放。发音也不怎么准。,发音不准确,
2025-05-24 19:19:14,没按顺序，顺序都乱了。还读第三幅图，后面又读到第四幅图。我还没读完就读第四幅图，什么意思啊？,朗读卡顿重复,
2025-05-25 07:12:35,点读有时候不是一整句,朗读卡顿重复,
2025-05-25 11:27:47,以后的单词没有音频,Audio_Issues,
2025-05-25 11:28:33,没有按照顺序来读,朗读卡顿重复,
2025-05-25 16:44:59,怎么没有读的选项？,发音朗读问题,
2025-05-25 19:33:56,节奏太快，孩子跟读跟不上,朗读速度问题,
2025-05-26 13:26:05,朗读时没有按课文的顺序来朗读。,朗读不自然,
2025-05-26 19:54:32,读的太快了，慢语速的话又太慢了，能不能调成0.95的速度,朗读速度问题,
2025-05-26 21:07:52,不能只读单词和中文意思,朗读功能优化,希望翻译结果能完整朗读单词和中文意思
2025-05-26 22:07:49,什么破软件啊没有读音,缺少中文朗读,
2025-05-26 23:20:20,"Beeno他给我读成BEENO
",发音不准确,
2025-05-28 20:28:01,语音老是莫名其妙的播放失败,朗读卡顿重复,
2025-05-28 22:00:07,整段文字分成一句一句无法连读,朗读不自然,
2025-05-30 22:32:51,翻译的时候要整句整句的读出来，而且要标准,朗读不自然,
2025-05-31 08:41:44,再用0.75倍的时候他读完一句他就停下来了继续播放,朗读卡顿重复,
2025-05-31 20:16:45,小猿读的不标准，而且呢，有些单词它不能读，只能翻译，而且有些翻译是错的,发音不准确,
2025-06-01 08:15:39,能不能别把英语的音标也读出来？,朗读不自然,
2025-06-01 12:02:47,读音不清，多加改进,朗读不自然,
2025-06-02 08:49:42,我要你把它读出来，没叫你把他的意思写出来，我要的是读音，不是意思，有毛病,缺少中文朗读,
2025-06-02 09:06:32,读太快了！读清处哦“,朗读速度问题,
2025-06-02 16:22:35,下次声音好一点，不要卡卡的,朗读卡顿重复,
2025-06-04 20:21:05,读了几遍后放不出来。,朗读卡顿重复,
2025-06-05 19:50:58,我点读的时候听不懂,朗读不自然,
2025-06-05 22:31:02,"读音有错。跟原版不一样。
和别人读的都不一样。都不一样。老师还让我们别用这个。一点都不好用。建议升级一下这个读音系统。多让我们这种同学。听到更准确的发音。让我们多学到英语的。单词。学会正确的发音。所以。我建议你还是把这个系统升级一下，不然的话我有可能我经常做这个，但是你这个发音不准确，老师我经常。太亏了。",发音不准确,
2025-06-06 19:27:37,设置一个3、0x的速度,朗读速度问题,
2025-06-06 21:48:54,希望可以增加逐句朗读的功能,朗读功能优化,逐句朗读，方便学习理解
2025-06-07 10:37:45,声音我想改成豆包的。,朗读功能优化,希望更换为其他更自然的朗读声音
2025-06-07 13:04:28,有个把句子不会读，但是一定要把全文听完了才听得到。,朗读卡顿重复,
2025-06-07 15:25:41,讲个翻译出来不要一个一个,朗读卡顿重复,
2025-06-07 22:49:56,这个句子刚点读一半就跳到另一个句子了,朗读卡顿重复,
2025-06-08 08:56:19,不会连继接下一段读,朗读卡顿重复,
2025-06-08 09:20:19,"读的速度好快希望慢一点
",朗读速度问题,
2025-06-08 14:35:01,太快了吧，好讨厌呢,朗读速度问题,
2025-06-08 20:42:26,我不喜欢他唱的那么快,朗读速度问题,
2025-06-08 21:25:41,不读拼音，有些还发音不标准，下次注意。,发音不准确,
2025-06-08 22:34:33,说到一半。像没气的一样,朗读不自然,
2025-06-10 15:01:37,AI识别词语也要整读音,发音不准确,
2025-06-10 19:12:18,读的字音一点都不标准差评。,发音不准确,
2025-06-10 20:13:03,一点都不标准，没有一个是标准的,发音不准确,
2025-06-10 20:31:05,读了几变就不能读了,朗读卡顿重复,
2025-06-11 21:38:25,太快了，听不清单词,朗读速度问题,
2025-06-12 21:17:49,建议增加一点英语单词就可以读出声来。,朗读功能优化,学习单词发音，辅助记忆
2025-06-12 21:20:44,太长了无法重复听重复听一次又要重新从最开始听一遍。,朗读卡顿重复,
2025-06-12 22:14:52,piggy这个单词没有发音！！！（｀Δ´）！,发音不准确,
2025-06-12 22:38:00,把音也读出来了，建议不要读出来,朗读功能优化,希望关闭发音朗读，避免干扰阅读
2025-06-13 08:30:58,不是出拼音啊是人吗,发音不准确,
2025-06-13 12:49:17,翻译错误把Look读成了 Lo和ok ,发音不准确,
2025-06-14 08:58:37,建议可以一句一句单独读,朗读功能优化,逐句朗读，方便逐句学习
2025-06-14 09:44:25,想要可以点读一个单词,朗读功能优化,学习单词，点读发音练习
2025-06-14 11:10:50,他一点都不标准一点都听不清楚他animal animal他说一点都听不懂所以我要回来,朗读不自然,
2025-06-15 19:15:05,比如说Something的简写他直接读成Sth,发音不准确,
2025-06-15 23:35:28,有的时候不按顺序读,朗读卡顿重复,
2025-06-16 20:03:07,"
念的时候再慢一点就可以了。",朗读速度问题,
2025-06-17 12:34:36,只想让AI读英语,朗读功能优化,希望仅朗读英文内容
2025-06-17 13:36:09,希望还可以点读英文😅😅😅,朗读功能优化,学习英语，点读英文单词或句子
2025-06-17 17:41:12,听不懂，而且读起来也不太好,朗读不自然,
2025-06-17 18:13:41,听全听不懂，太快了。😡,朗读速度问题,
2025-06-17 19:41:22,为什么突然就不能播放,朗读卡顿重复,
2025-06-17 21:24:47,本来是hot他读成H0T,发音不准确,
2025-06-18 19:55:25,"就是那个没有连续读的。
",朗读不自然,
2025-06-18 20:47:21,有些上面显示你不能给我读出来，还是抱歉，这个有问题请重试。,朗读不自然,
2025-06-19 18:56:08,我点的时候我想要他读出来那一个方框里面的单词,朗读功能优化,学习单词，希望听发音辅助记忆
2025-06-19 20:37:17,说的不是读英文吗怎么读的中文,朗读不自然,
2025-06-19 21:34:02,点了没声音，退出也是一样,朗读不自然,
2025-06-20 12:58:17,他没有读出英文给我听。,缺少中文朗读,
2025-06-20 13:02:23,我是中国人，不是英国人，所以你不要读英语，我才上二年级,朗读不自然,
2025-06-22 13:16:11,只读中文，不读英文，应该中文和英文一起读,缺少中文朗读,
2025-06-22 13:17:25, 没有可以连读的吗？,朗读不自然,
2025-06-22 18:39:23,原文点读没有发出声音来。,朗读不自然,
2025-06-23 13:05:16,不能一起发音出来吗？,朗读功能优化,希望多词语句一起朗读
2025-06-23 13:05:44,发音不能一起全发音了吗？,朗读不自然,
2025-06-23 18:52:46,没有一句一句的读，不能。跟着读,朗读不自然,
2025-06-23 21:46:45,"有时候那个没有声音了。

",朗读不自然,
2025-06-24 20:34:11,你什么意思啊！会不会读！,发音不准确,
2025-06-24 21:21:42,太好了，我的意见是可以点读。,朗读功能优化,希望支持点读功能，辅助学习
2025-06-24 22:22:32,你中间两个没有跟读？,朗读不自然,
2025-06-25 18:51:05,"我要读英语不读字
",朗读不自然,
2025-06-25 21:12:26,能不能不要读完一段自动往下读，想再听清楚一点。结果就突然中途换了。,朗读不自然,
2025-06-25 21:19:47,还可以有没百中等的音吗？,发音不准确,
2025-06-26 08:26:30,他读着读着就读歪了,朗读不自然,
2025-06-26 20:56:36,他读的音都不知道读哪去了😓,发音不准确,
2025-06-28 08:15:23,不能单说这个单词怎么读？,发音不准确,
2025-06-28 23:11:14,建议可以自由播放 退出应用仍可以听,朗读功能优化,希望退出应用后仍能继续听翻译内容
2025-06-29 09:43:34,"单词的音标上都要加一个""美″字，读音不准确。",发音不准确,
2025-06-29 20:18:29,发音不标准。和清楚。,发音不准确,
2025-06-29 20:55:38,right读错了！生气,发音不准确,
2025-06-30 09:24:08,不要读没用的东西，只读单词,朗读功能优化,希望仅朗读单词而非整句
2025-07-01 19:46:23,明明都有单词自己不读。,朗读不自然,
2025-07-01 20:25:03,不好，因为我听不懂怎么读的,朗读不自然,
2025-07-01 21:28:52,就是连英标都一起读,发音不准确,
2025-07-01 21:57:02,语速太快，发音不准确,发音不准确,
2025-07-02 14:27:05,能再能把录音的声音再慢一点吗？要慢一点读两遍。,朗读速度问题,
2025-07-02 18:32:33,怎么不播放怎么不播放,朗读不自然,
2025-07-03 10:04:41,读的太快，听不清楚。,朗读速度问题,
2025-07-04 12:48:44,要看今日竖下一度的一横过去读的 ！ 音量不要卡顿！,朗读卡顿重复,
2025-07-04 16:40:20,分句比较实用，有时声音卡卡的，建议修复一下,朗读卡顿重复,
2025-07-05 17:45:48,这些连起来单词，他只能一个一个的读，没办法，连起来听，根本听不准,朗读卡顿重复,
2025-07-05 20:30:32,只有一个声音，不能换声音。,朗读不自然,
2025-07-06 17:21:55,没有单词点读，希望改进,朗读功能优化,学习单词，点读发音练习
2025-07-06 21:37:33,取词点该的时候直接读,朗读功能优化,取词时直接朗读单词或句子
2025-07-07 13:21:37,AI无法发音出来。,缺少中文朗读,
2025-07-07 17:52:44,领读不对，录着音还说话。,朗读不自然,
2025-07-07 18:18:24,和我的英文不一样，单词发音也怀太准,发音不准确,
2025-07-07 19:34:01,他让我点击单词看读音和注释，但是我点进去根本没有读音，我都不知道这个单词怎么读,发音不准确,
2025-07-08 10:27:09,加个英式发音，求求🥺了。上次我读的美式发音，老师把我当面说了一顿,发音不准确,
2025-07-08 10:52:21," 单词收录发音不标准。
",发音不准确,
2025-07-08 11:33:26,希望官方下次别这样了。就因为你们这些读的有些不标准，我上课都听不懂。,发音不准确,
2025-07-08 18:33:02,有一个字读成了货，货物的货。,发音不准确,
2025-07-08 18:46:50,建议跟读。便提出建议。,朗读功能优化,希望改进朗读功能，辅助学习发音
2025-07-08 21:00:16,发音不清楚，读的语句不连贯。,朗读不自然,
2025-07-09 10:12:21,播放声音消失，请重试,朗读卡顿重复,
2025-07-09 16:26:16, 点了好多单词都没有音频只有他的示意，但我更需要的是音频,缺少中文朗读,
2025-07-09 18:44:01,有两个单词时只能读一个单词。,朗读卡顿重复,
2025-07-10 15:42:25,"能不能不读那个美式的
",发音不准确,
2025-07-10 16:42:17,有没有读音的单词,Audio_Issues,
2025-07-10 19:13:27,有些不可以听那个是为什么？,朗读功能优化,
2025-07-10 20:16:12,有一个单词没有发音,发音朗读问题,
2025-07-10 21:07:16,"不是，我意思是把每个一，每一个英语单词就是一行的单词全部给我念出来。
",朗读功能优化,希望逐词朗读单词
2025-07-11 17:10:42,翻译出来没有带读音,缺少中文朗读,
2025-07-11 22:27:34,翻译后有的单词能点开但是没有读音按扭不能听,朗读功能优化,学习单词发音，辅助听力练习
2025-07-13 09:08:04,baobab读音不对,发音不准确,
2025-07-13 14:03:47,非常满意希望他能跟读,朗读功能优化,希望能跟读，提升发音练习
2025-07-13 19:06:20,请把声音调到再清晰点,朗读不自然,
2025-07-14 17:42:11,读课文的时候读错了,发音不准确,
2025-07-14 19:15:19,读太快了，读慢一点。比较浪漫，比较好理解。,朗读速度问题,
2025-07-15 12:31:40,有的词语不解释发音,发音朗读问题,
2025-07-15 16:40:27,听的有一些听懂模糊,朗读不自然,
2025-07-15 20:29:21,读到一半突然就不读了。,朗读卡顿重复,
2025-07-16 13:42:49,"读太快了
读太快了。",朗读速度问题,
2025-07-17 10:26:42,带我领读，别用英语领读,朗读不自然,
2025-07-17 12:24:35,有些词语没有发音,缺少中文朗读,
2025-07-17 13:52:21,读得太快了，能不能设置成1.0速度？,朗读速度问题,
2025-07-19 11:06:02,可以把句子分开读,朗读不自然,
2025-07-19 12:44:02,不能听我背诵英语课文,朗读功能优化,背诵英语课文后听读检查
2025-07-20 11:07:39,美人鱼这个单词没有读音，试了好几次都没有，,朗读不自然,
2025-07-20 12:49:52,不能一直放着音频,朗读不自然,
2025-07-20 14:45:50,点读的时候，音标和和翻译请不要读出来。只要读英文,朗读功能优化,点读时仅朗读英文，不读音标和翻译
2025-07-21 11:41:27,希望一段一段的，一个单词一个一个读慢一些,朗读速度问题,
2025-07-21 13:50:41,有些单词没有发音，然后呢他也是有一点蛮不一样的,发音不准确,
2025-07-21 15:34:34,不希望出现发音播放失败,朗读卡顿重复,
2025-07-22 08:29:00,说的太快了想干什么！根本听不出来读的是啥？,朗读速度问题,
2025-07-22 10:32:52,为何单词没有 读音,缺少中文朗读,
2025-07-22 14:40:56,读错了，下次看好点啊！,发音不准确,
2025-07-22 15:34:39,能不能直接读出来单词？,朗读功能优化,希望改进朗读功能，辅助单词学习
2025-07-22 16:31:44,"读到书包bag的时候，他给我说一个bang，你给我说一个拼音

",发音不准确,
2025-07-23 10:55:24,增加一个一直读一个东西的,朗读卡顿重复,
2025-07-23 17:56:19,我想让他全部读，他不读,缺少中文朗读,
2025-07-23 18:44:27, 读的单词和书上写的单词完全不一样。,发音不准确,
2025-07-23 19:56:45,希望可以有顺序点读，然后呢标注123，不然的话，每次点读不要顺序来的，很让人生气😡,朗读不自然,
2025-07-24 08:25:00,太快了，能不龍man一点。,朗读速度问题,
2025-07-24 13:31:44,可以安装一个快慢一个读慢，或者可以安装一个快倍速,朗读速度问题,
2025-07-25 09:50:48,应该把音标也录上。,朗读功能优化,学习单词发音，辅助记忆音标
2025-07-25 10:47:17,这个有一些音标不标准,发音不准确,
2025-07-25 11:04:00,想听连续播放，但连续播放，播放顺序错误,朗读卡顿重复,
2025-07-25 12:12:17,原文阅读的时候有一些单词，它不显示，不是不显示，而是不读，不让我们读，所以那个单词我有一些不会，可以问，但是呢，但是呢，外面就是我们这个课文呢，还要想联系起来，然后呢，又只要我退出去，再问的话，就会很麻烦，又得扫一遍，而且我这个手机的网络又很差，所以建议你们修改一下这个，让每一个单词，每一个每一个字母都让他们读出来，建议是这样子啊，可能呃，因为呢，我这是我奶奶的手机。,朗读不自然,
2025-07-25 21:18:24,为什么读后面的音标,朗读不自然,
2025-07-25 21:48:52,能不能都给音标，有的没有，谢谢,发音不准确,
2025-07-26 08:03:52,读的太快，听不清楚,朗读速度问题,
2025-07-26 08:52:17,读的太慢不好听不懂,朗读速度问题,
2025-07-26 09:19:07,读得快太快听不清,朗读速度问题,
2025-07-26 18:46:01,太好的英语没有读，他好像也不会,缺少中文朗读,
2025-07-27 09:37:49,发音特别不标准，而且模糊不清。我根本就听不清他的发音，让我这种想学英文的一听根本就听不懂哪个单词是怎么读，而且和标准读音不一样，读的太模糊了希望能改善这个问题因为我现在非常需要用如果不能改善的话我不介意投诉你们。当然我也希望能尽最大的力能让你们赶紧能把这个问题看重一些，因为像我的这种嗯我想上网先搜一下预习但是这种发音不标准的，我根本就听不清那个单词怎么读，非常影响我的学习效率创使我的学习成绩下降。,发音不准确,
2025-07-27 15:20:28,前面不要带l或者是t，这样的人物名字读的时候,发音不准确,
2025-07-28 12:13:23,把意思翻译出来都不翻译读音的真是tmd。,Audio_Issues,
2025-07-28 13:10:02,换一个感觉有点卡的声音,朗读不自然,
2025-07-28 19:14:12,读音不是原文中的单词,发音不准确,
2025-07-28 21:43:33,读的太快了，读慢点,朗读速度问题,
2025-07-29 18:20:21,不可以一句一句的点读,朗读功能优化,希望支持逐句点读功能
2025-07-30 12:49:10,读英语读的太快了😈😈😈😈😈😈😈,朗读速度问题,
2025-07-30 15:23:32,非常不好，明明就写在面前，它一个都不读，很不好用，下次不给你们推荐了！以后绝对不用！！！,朗读不自然,
2025-07-30 16:33:00,他们的声音是自己的声音，一直都是小猿口算的声音啊对吧也不知道是怎么回事，反正我觉得这种不好听我请你们自己改正否则会把你们删掉的,朗读不自然,
2025-07-30 19:59:07,读单词的时候翻译啥的 一个字 一个字 原文点读一个单词 一个单词 给我读 这啥呀 整一大片 :,朗读卡顿重复,
2025-07-31 09:31:30,建议制度英文不读中文,Audio_Issues,希望翻译英文时朗读中文
2025-07-31 12:28:52,有的英语单词点击后他没有发音,发音不准确,
2025-07-31 18:07:19,希望他那个循环播放可以改进,朗读卡顿重复,
2025-07-31 18:07:37,一是那个循环播放可以改进，二是倍数，三是这个反馈能不能多一点字数啊？,朗读功能优化,调整播放倍数和循环模式
2025-07-31 18:33:06,高高地的汉意读错了！,发音不准确,
2025-07-31 19:00:32,美式读的太油腻了,朗读不自然,
2025-08-02 12:32:24,读的时候没有停顿,朗读不自然,
2025-08-02 21:28:13,可以把音标去掉吗？ 或者把汉语和音标分开读，这样比较好一些,朗读不自然,
2025-08-02 21:49:53,可不可以整页都读一下？,朗读功能优化,希望整页内容朗读
2025-08-03 11:28:30,好多都读错了，把good morning读成秋啦 而且他的声音很卡,朗读卡顿重复,
2025-08-03 14:42:20,有的单词他只给的中文意思没有读音。,发音朗读问题,
2025-08-03 18:28:29,有一个单词没有英式发音,发音不准确,
2025-08-03 18:59:04,读的太慢了 读的太快了 服了 ,朗读速度问题,
2025-08-04 09:51:34,"翻译是对的，但乱说














",朗读不自然,
2025-08-04 19:24:06,"读音了草，没有间隔
",朗读卡顿重复,
2025-08-04 20:23:17,单词发音应该要有一个快的和一个慢的，要不然有人听不清楚。我听半天都不清楚这个绿色到底怎么发音？,朗读速度问题,
2025-08-04 23:00:33,还是以前的比较好，因为简单没有那么繁琐，现在是什么都读，包括数字，对于只想听英语的不是很友好，希望改进…,朗读不自然,
2025-08-05 10:53:39,读的一点也不标准,发音不准确,
2025-08-05 15:40:12,"读不出来，也不准确

",发音不准确,
2025-08-05 21:33:12,连续播放顺序不对,朗读卡顿重复,
2025-08-06 10:06:26,原文点读读的不清楚,朗读不自然,
2025-08-06 10:08:09,点读不清楚五星差评,朗读不自然,
2025-08-06 12:12:44,我都还没听完，他就读完了-_-||再多卖一点点都清楚点，We have不能说清楚点吗啊？不要耳机声音😱,朗读速度问题,
2025-08-06 16:17:34,我都服了，每次想听发音，他都说发音错误，发音错误的，再这样就投诉你们。,发音不准确,
2025-08-06 20:54:45,他会把单词和他的单词旁边那个，发音给一起读了，但是旁边那个发音读的又是其他东西,发音不准确,
2025-08-06 21:49:51,只读英文字母，不读英语单词儿。,缺少中文朗读,
2025-08-07 08:45:41,可以在原文跟读中设置一项麦克公录音利于学生更好的掌握,朗读功能优化,跟读练习，提升发音准确性
2025-08-07 08:46:25,读单词，然后翻译怎么是没耳朵,Audio_Issues,
2025-08-08 09:34:09,很好，也很方便。就是有点快。满分💯，我投99、9分,朗读速度问题,
2025-08-09 16:58:34,他读句子读不完整，漏单词,朗读卡顿重复,
2025-08-09 19:03:28,读的太快了，我跟不上。,朗读速度问题,
2025-08-11 10:43:02,你有个问题，你翻译的文字读起来不太通顺。,朗读不自然,
2025-08-11 16:48:47,他识别完之后，他的内容读不出来,朗读不自然,
2025-08-11 20:10:55,说的太快了，说的再慢一点,朗读速度问题,
2025-08-11 20:56:29,怎么不能连起来读呢,朗读不自然,
2025-08-11 21:10:46,有一个地方听不懂,朗读不自然,
2025-08-11 21:26:01,速度有点快，听的也不太详细,朗读速度问题,
2025-08-12 09:59:07,太难听了，笑的我们嘎嘎的 ,朗读不自然,
2025-08-12 17:48:21,网络卡说话为什么姐姐还卡,朗读卡顿重复,
2025-08-12 18:13:07,我觉得每次曲子翻译的时候，点它的时候要读出来，不然要一个个的去点，太麻烦了不然我们还要一个个的去点英式或者美式的发音。诚恳建议，希望听从～,朗读功能优化,希望改进发音朗读体验，减少操作步骤
2025-08-13 10:59:51,有一些不可以点读,Audio_Issues,
2025-08-14 08:22:53,连读的时候有时候会卡，整体不错，继续加油,朗读卡顿重复,
2025-08-14 13:43:25,为啥呢？没有播放翻译,Audio_Issues,
2025-08-14 14:34:38,5个单词连在一起。建议一个一个的读,朗读不自然,
2025-08-14 15:06:40,读音不太准，请改一改，比如说变色龙,发音不准确,
2025-08-14 16:18:49,建议出音标。听不懂。可以看音标得到正确的读音。,发音不准确,
2025-08-15 12:52:03,该读的不读不该读的就读了,朗读不自然,
2025-08-15 14:06:06,选一个单词，一直读,朗读卡顿重复,
2025-08-16 08:27:56,他不一段一段的读,朗读不自然,
2025-08-16 08:36:42,最后一个单词他读错了,发音不准确,
2025-08-16 15:22:32,有时候读不出来声音或者搜不出来单词,朗读卡顿重复,
2025-08-16 16:47:14,读慢一点，准确一点,朗读速度问题,
2025-08-18 09:16:20,可以选多个单词一起读。,朗读功能优化,多单词连读，提升学习效率
2025-08-18 10:21:23,发音标准。读的慢一点。,朗读速度问题,
2025-08-18 17:16:26,"发音不仅不准确还听不懂。就算听得懂
也读不对。",发音不准确,
2025-08-19 06:21:17,有一个单词都读不了,发音不准确,
2025-08-19 23:34:09,希望可以在点读的时候可以不读中文,朗读功能优化,点读时希望关闭中文朗读
2025-08-20 11:48:40,课文如果可以重复读就好了，可以不断重复听读,朗读功能优化,学习过程中重复听读课文内容
2025-08-22 14:59:49,把【d】读成【t】读音不准确👿👿👿,发音不准确,
2025-08-24 17:51:22,老是有单词和句子读不出来,朗读不自然,
2025-08-24 21:22:18,拍完全部全部都不读出来只读一两个。,朗读不自然,
2025-08-25 10:03:46,原文点读连续不能是正确的顺序,朗读卡顿重复,
2025-08-25 10:58:25,在一大段的时候可不可以随机点取一句来读呢。,朗读功能优化,阅读长文本时随机点读单句
2025-08-25 17:20:59,速度读慢一点，能不能那个拼读发音标准一些。,朗读速度问题,
2025-08-25 17:39:14,肚子太快不清楚而且不标准机器感太强了,朗读不自然,
2025-08-25 20:07:44,就不能一下全读吗？,朗读卡顿重复,
2025-08-26 13:47:20,Banana读成了Banana,发音不准确,
2025-08-27 09:45:01,为什么？为什么？我问你为什么？为什么开始的单词是START为什么是一个字母一个字母的读着呢？,朗读卡顿重复,
2025-08-28 08:17:04,其中还有一个叽里呱啦，也不知道在说什么,朗读不自然,
2025-08-28 13:02:52,可以反复重复听就好了,朗读卡顿重复,
2025-08-28 15:48:51,不要再让他念中括号,朗读不自然,
2025-08-28 19:35:55,声音不好听改一改,朗读不自然,
2025-08-29 11:22:55,乱读，有些读的字母,发音不准确,
2025-08-29 22:01:57,次再次不会读，给那人家是keep你读keep你讨不讨厌？,发音不准确,
2025-08-31 12:16:46,声音听不清楚，太难听了,朗读不自然,
2025-08-31 13:34:44,再见，回头再见的见发音不标准。,发音不准确,
2025-08-31 18:23:25,能不能先一页一页的读,朗读速度问题,
2025-08-31 22:04:32,这东西感觉播放不了，他一直说,朗读卡顿重复,
