feedback_date,feedback_content,label,scene
2025-06-14 17:01:13,"不可以一次传两个照片
试卷上一个提错开的情况下很难翻译",功能需求,多题同时翻译，提高效率
2025-06-14 21:07:33,有词组的应把词组翻译了,功能需求,识别短语、固定搭配，提升翻译准确性
2025-06-16 19:40:03,我建议你把那些单词弄出来。,功能需求,学习积累，提取生词
2025-06-16 20:58:08,有时候看到自己写的或者打印的，可以翻译成中文吗,功能需求,翻译打印或手写内容为中文
2025-06-17 19:46:39,每次只能翻译一个单词，不能翻译整个句子,功能需求,翻译长句，提高学习效率
2025-06-17 20:39:24,建议能不能保存到相册或是把上面三个选项给隐藏一下，方便截图,功能需求,截图时隐藏选项，方便操作
2025-06-18 18:19:05,翻译没有日语翻中文，那对一些日产怎么办呢？例如说明书看不懂。,翻译语言扩展,阅读日语说明书，翻译为中文
2025-06-18 21:56:46,加一些其它的翻译,翻译语言扩展,支持更多语言翻译需求
2025-06-19 19:55:45,添加其他语言，如法语，日语等,翻译语言扩展,学习多语言，满足不同语言翻译需求
2025-06-19 19:58:35,建议可以在单词部分标出过去式或者是其他形式的单词,功能需求,学习单词，标注不同语法形式
2025-06-19 21:18:47,收录单词太少。很多常见单词没有收入。,单词本收藏,学习积累，保存生词复习
2025-06-20 06:51:39,为什么没有可以点一句一句的呢？,功能需求,逐句翻译，方便学习理解
2025-06-22 19:05:23,建议中文点击以后自动翻译成英文,翻译语言扩展,中英文互译，辅助英语学习
2025-06-22 20:16:04,为什么只能解英文，日文不可以？😢其它的不行？😢😢😢😢,翻译语言扩展,学习日语等其他语言的翻译需求
2025-06-22 21:45:06,可以在每一行的单词下面写出它的意思，让读者更好地理解,功能需求,逐词解析，辅助单词理解
2025-06-23 11:05:55,能不能把古文翻译成中文？,翻译语言扩展,学习古文，将古文翻译成中文
2025-06-23 21:20:43,多一点国家的选择,翻译语言扩展,学习多国语言，拓展翻译范围
2025-06-24 07:11:48,有些单词没有音标。,功能需求,学习单词，获取发音辅助
2025-06-24 20:40:53,建议设置自动阅读全文建,功能需求,自动阅读翻译结果全文
2025-06-25 21:01:06,为什么没有扫描就可以出来的这个听力,功能需求,无网络时获取听力材料
2025-06-26 10:12:57,一些单词没有音标,功能需求,学习单词，获取发音辅助
2025-06-29 21:01:01,你们可以多搞几种语言,翻译语言扩展,学习多语言，满足不同场景需求
2025-07-02 20:06:22,下次可以出一个中译英的翻译。,翻译语言扩展,需要中译英翻译功能
2025-07-04 09:31:11,可以把单词、英标和意思分开，不然听不懂。,功能需求,学习单词，区分音标和释义
2025-07-04 15:55:17, 英语的点读里面为什么没有苏教版的呢？,翻译语言扩展,学习英语，点读苏教版教材内容
2025-07-09 16:31:14,这个功能可以更方便地查找🔎英文书上的不认识的单词了，不用麻烦地在百度一个一个搜了,功能需求,查找英文书生词，替代百度搜索
2025-07-09 16:40:22,有一些单词没有音标,功能需求,学习单词，获取发音辅助
2025-07-14 12:24:27,建议能自己圈要点读的地方。,功能需求,精准点读，自定义翻译区域
2025-07-14 21:40:08,没有句子成分的解析,句子分析,学习语法，理解句子结构成分
2025-07-16 13:39:56,"建议翻译一下俄语
毕竟外语不只有英语",翻译语言扩展,学习俄语等其他外语翻译需求
2025-07-16 13:52:44,搜题的话只能搜一道题，不能搜其他题,其他功能需求,多题连续搜索，提高效率
2025-07-17 07:49:19,"或许可以填一个家长才能设置的自动搜答案功能。当孩子写完作业之后，一页一页拍有点儿费劲，所以我认为这个时候家长要是说控制一下这个拍封面就可以转化出答案的这个功能，那样的话不但不会让孩子有时间抄袭。还可以让家长对作业对的更轻松
",其他功能需求,家长辅助检查作业，控制拍照范围出答案
2025-07-18 12:39:00,建议录入更多单词,功能需求,学习积累，补充更多单词库
2025-07-18 14:01:57,拍照时可以看到照片里文字的文本并可以编辑,功能需求,编辑识别到的文本内容
2025-07-18 20:21:04,能不能再加一个说英文的功能,翻译语言扩展,需要英文翻译时使用
2025-07-20 13:13:30,可以把一段一段的句子改成，条一条的小句子。谢谢啦,功能需求,整理句子，分条显示更清晰
2025-07-21 14:11:48,建议小猿口算新推出手写英文翻译，谢谢,功能需求,手写输入英文单词或句子翻译
2025-07-21 15:39:59,能不出一个翻译别的类型的。,翻译语言扩展,希望支持更多语言翻译
2025-07-21 18:21:18,希望你可以按他从上到下的顺序来写,功能需求,按原文顺序展示翻译结果
2025-07-23 11:10:05,建议整段文字一起翻译。,功能需求,整段文字翻译，提高学习效率
2025-07-24 09:42:13,把音标也加上。能拼读。,功能需求,学习单词，辅助发音拼读
2025-07-24 17:07:26,为什么不可以翻译成别的语言？,翻译语言扩展,学习多语言，拓展翻译范围
2025-07-25 14:32:32,没法多种语言翻译,翻译语言扩展,需要翻译多种语言，如日韩法等
2025-07-25 16:49:11,可以增加放大功能,功能需求,调整图片大小，方便聚焦识别内容
2025-07-27 16:39:33,建议可以翻译后保存图片,功能需求,保存翻译内容对应的图片，方便复习
2025-08-01 10:47:11,要是长点的话呢，那就可以分段,功能需求,长文本翻译，希望分段显示
2025-08-01 22:19:24,"想要小猿把关建句划出来
",句子分析,学习语法，划分句子结构和关键成分
2025-08-02 09:29:32,能不能只有单词啊？,功能需求,只翻译单词，不翻译整句
2025-08-02 09:40:09,背单词功能中的教材应该换成新版的，比较放便使用,其他功能需求,背单词教材更新，适配新版学习内容
2025-08-04 10:53:58,建议加上音标，语法解析,句子分析,学习语法，解析句子结构和成分
2025-08-05 21:12:14,"收录单词较少 
有些单词查不出来",功能需求,学习查词，补充生词库
2025-08-06 10:04:53,在旁边弄一个可以写的地方🤔,其他功能需求,翻译后可直接在界面标注笔记
2025-08-06 10:56:25,建议增加在英语点读中,功能需求,英语点读时使用翻译功能
2025-08-07 11:27:34,希望有原文编辑栏目   ,功能需求,修改翻译原文，调整翻译内容
2025-08-07 19:26:08,可以同时翻译两张照片,功能需求,快速翻译多张图片内容
2025-08-08 15:31:35,翻译不了其他语言,翻译语言扩展,翻译其他语言，如日语/韩语等
2025-08-09 09:52:53,两个选项翻译的时候可以改为显示填空，那为什么选词填空的时候不能改为翻译？建议增加改为翻译。,功能需求,选词填空场景，将题目改为翻译模式
2025-08-10 11:36:21,为什么不能选别的语种？,翻译语言扩展,学习多语言，满足不同语种翻译需求
2025-08-11 15:24:32,建议添加中考，高考的翻译,翻译语言扩展,备考中考高考，翻译专业内容
2025-08-13 15:15:10,"有些单词没记录在内。
",单词本收藏,学习积累，保存生词复习
2025-08-13 19:37:08,很好，不过呢，把那些两段的改成一段的,其他功能需求,优化翻译结果排版，合并两段内容
2025-08-14 11:10:42,"可以从各种语言翻译
",翻译语言扩展,多语言互译，满足不同学习需求
2025-08-18 09:27:32,我想调节翻译内容,功能需求,调整翻译结果内容
2025-08-21 10:19:25,希望可以多一种语言，比如文言文。,翻译语言扩展,学习古文，翻译文言文内容
2025-08-25 17:05:53,能否将短语圈在一起  要不然有的时候短语翻译不出来,功能需求,识别短语，提升翻译准确性
2025-08-26 19:29:54,建议啥都可以翻译。,翻译语言扩展,多语言学习，支持更多目标语言
2025-08-27 14:23:28,能不能翻译一下古文,翻译语言扩展,学习古文，需要古文翻译功能
2025-08-28 08:41:47,如果能点个句子来翻译就好了，那就好了,功能需求,精准翻译特定句子，避免全文翻译
2025-08-28 19:16:15,可以多出别国家的语言吗,翻译语言扩展,学习外语，支持多语言翻译需求
2025-08-29 14:51:58,希望能把我写的字翻译出来,功能需求,手写文字翻译，辅助学习
2025-08-30 13:44:54,可以翻译一些文言文，然后， 可以用语音，语音中的中文翻译成英文。谢谢。❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,翻译语言扩展,文言文翻译成英文
2025-08-31 14:39:07,收录的单词太少了，没几个能翻译的，希望立即整改,功能需求,学习积累，扩充单词库
2025-09-04 19:19:37,希望制作一个可以把文言文翻成白话文的,翻译语言扩展,学习古文，将文言文转为白话文
2025-09-04 19:58:08,为什么只能翻译英文啊？,翻译语言扩展,学习多语言，支持中文以外的翻译需求
2025-09-04 20:33:22,建议添加翻译手写，可以把手写切换成电子版，然后再进行翻译，不然写完英语作文，想用小猿口算检查一下，直接没救了,功能需求,检查英语作文，手写转电子版翻译
2025-09-05 17:33:11,可以让中文变成英文，英文变成中文，互相交替,翻译语言扩展,中英文互译，灵活切换语言
2025-09-06 11:14:20,为什么不能。整页翻译。,功能需求,翻译整页内容，提高学习效率
2025-09-06 15:39:49,可以做一个课文的视频吗？,功能需求,学习课文内容，观看视频辅助理解
2025-09-06 17:22:46,单词收录太少 词汇量好少🙃,功能需求,学习积累，扩充单词库
2025-09-07 08:07:18,ε٩(๑> ₃ <)۶з非常好希望可以添加一个英语随便读。那个就是可以随便读英语的，而且获得星星可以领奖牌,功能需求,学习英语，随意朗读练习发音
2025-09-08 17:45:43,不能一个句子，一个句子翻译,功能需求,逐句翻译，理解句子结构
2025-09-08 19:37:56,希望可以改进一下，让它变成句子。他句子也可以连着找出来，而不是一个单词一个单词的扫出来。,功能需求,识别句子而非单个单词
2025-09-08 20:28:22,希望可以加一个背诵,功能需求,学习记忆，辅助单词或句子背诵
2025-09-08 20:48:07,可以设计一个英语测评,功能需求,英语学习，进行口语或笔试测评
2025-09-09 19:14:11,可以多加一个自己写的,功能需求,手动输入翻译内容
2025-09-09 20:00:23,怎么设置成美式英语,翻译语言扩展,切换翻译目标语言为美式英语
2025-09-09 20:30:59,可以增加一个看音标发音给出英文单词的功能,单词本收藏,学习积累，保存生词复习
2025-09-09 20:39:30,可以换一种功能，可以全篇阅读也可以单独,功能需求,阅读时可切换全篇/单独翻译模式
2025-09-09 23:30:25,可以弄一些扩展什么的 这样子太过于简洁,功能需求,翻译内容更丰富，支持扩展信息
2025-09-10 21:23:07,以后要写在英语本上的单词也可显示翻译,功能需求,英语学习，单词本积累生词
2025-09-12 19:54:05,不要一个一个的点搜很麻烦整个翻译要整篇,功能需求,整篇文档快速翻译，无需逐点操作
2025-09-12 21:01:06,我想要整页都是中文。但是他光让我一个一个点。能不能让整页的中文啊！！这样咱要一个一个点，太麻烦啦。希望可以图片答案表多点儿。🐹,功能需求,整页翻译，无需逐一点选
2025-09-13 23:54:05,可以加一个全句翻译,功能需求,翻译整句内容，提升理解效率
2025-09-14 08:49:30,下一次可以多加一个东西，做一个项目，下一次尽量把英语再加一个标准字体拍照那种看看是不是标准字体哪个对不对什么的建议啊,功能需求,识别标准字体，判断字体是否正确
2025-09-14 09:17:15,没有收录我扫描的单词单词。,单词本收藏,学习积累，保存生词复习
2025-09-14 09:40:27,一个选项中的单词可以归为一个单词来翻译,功能需求,单词分类翻译，方便学习记忆
2025-09-14 10:39:48,可以把自己写的英文也转换成中文,翻译语言扩展,输入英文文本，翻译成中文学习
2025-09-15 22:18:19,翻译是一大堆的可以一句话一句话的吗,功能需求,希望按句子拆分翻译结果
2025-09-16 21:54:26,在收集更多的单词的那个中文。,单词本收藏,学习积累，保存生词复习
2025-09-16 22:25:27,可以再智能一些吗？可以涂抹个别句子的那种。,功能需求,精准翻译特定句子，涂抹选择区域
2025-09-16 22:56:30,建议出一个一键下载到相册功能,功能需求,翻译结果一键保存到相册
2025-09-18 21:57:53,没有收录单词的太多了，我都不知道这些是什么意思，只知道一个时间,单词本收藏,学习积累，保存生词复习
2025-09-19 18:53:46,建议出一个古文翻译,翻译语言扩展,学习古文，将古文翻译成现代汉语
2025-09-21 17:00:11,将我拍到的所有单词都画上横线,功能需求,学习单词，标记重点词汇
2025-09-21 19:44:03,每次翻译的都很多，能不能一段一段翻译？,功能需求,阅读长文本，分段查看翻译结果
2025-09-21 23:28:34,希望能把手写的也能翻译，谢谢,功能需求,手写内容翻译，方便输入
2025-09-22 20:43:36,最好是能够联系课本。比方说如果拍了一面后就能自动分析出这是几年级，课本的哪一面，给出一个非常准确的课本翻译。,功能需求,结合课本内容，精准定位翻译内容
2025-09-24 19:50:19,只能整一页，不能整两三页,功能需求,多页文档批量翻译
2025-09-25 20:36:29,长句子把意思写在对应的句子下面,功能需求,长句翻译，对应原文显示释义
2025-09-25 20:39:16,我点句子里的单词它搜不出来,功能需求,点击单词，搜索单词释义
2025-09-26 00:01:15,无法单个翻译句子，非常不好(╥ω╥`),功能需求,需要单个句子翻译功能
2025-09-26 17:49:57,希望下次什么时候可以把这个保存起来。,单词本收藏,学习积累，保存生词复习
2025-09-28 18:36:59,可不可以给一个圈画的功能？就是可以圈画图啊啥的？,功能需求,圈画标注题目或翻译内容
2025-09-28 20:35:17,为什么不是一句一句的,功能需求,希望按句子分段翻译
2025-09-30 19:45:29,可以一下翻译整个句子吗？,功能需求,翻译整个句子，提高理解效率
2025-10-01 10:43:30,一个一个翻译太难了。,功能需求,希望提升翻译效率，减少逐字翻译
2025-10-01 11:07:55,建议把大写字母也加到翻译列表里面,功能需求,翻译列表包含大写字母识别
2025-10-01 12:28:46,能不能加个中翻英？。,翻译语言扩展,中英文互译，满足不同学习场景
2025-10-02 10:06:19,能不能把翻译内容改成可以自己调。,功能需求,调整翻译内容，个性化使用需求
2025-10-02 14:03:08,请收录单词多点。如necessarily,单词本收藏,学习积累，保存生词复习
2025-10-04 15:11:39,如果能横屏就更好了,其他功能需求,拍照时横屏拍摄更方便
2025-10-04 15:19:33,英语翻译可以加入外国游戏的游戏名称吗？,翻译语言扩展,翻译外国游戏名称，支持更多语言
2025-10-04 21:48:49,为什么不能翻译文言文,翻译语言扩展,学习古文，翻译文言文内容
2025-10-05 13:02:29,可以复制就更好了,功能需求,方便使用，复制翻译结果
2025-10-05 14:11:47,希望可以大小缩放。,其他功能需求,调整翻译结果显示大小
2025-10-05 17:27:07,建议加上单词的名词形式，形容词形式等等。以及短语的整体意思,功能需求,学习单词词性，理解短语整体含义
2025-10-05 19:08:50,能不能弄个分段呀,功能需求,阅读辅助，长句分段显示
2025-10-06 08:07:18,为什么没有其他翻译？,翻译语言扩展,希望支持更多翻译语言
2025-10-06 23:12:06,翻译的时候要是能横屏就好了,功能需求,拍摄长文本时横屏更方便
2025-10-07 12:08:26,为什么没有日本語,翻译语言扩展,学习日语，需要日语翻译功能
2025-10-07 16:09:25,不能一句一句翻译,功能需求,逐句翻译，方便逐句学习理解
2025-10-09 18:05:12,能不能把点读换成英文的？,翻译语言扩展,学习英语，切换目标翻译语言
2025-10-09 19:46:27,这个单词我都认识，为什么他没有收录下来呢？,单词本收藏,学习积累，保存生词复习
2025-10-10 19:11:33,希望出一个翻译后文本复制的功能,功能需求,快速复制翻译结果用于学习
2025-10-12 13:41:10,翻译的时候请把重点圈出来。好吗？,功能需求,翻译时突出显示重点内容
2025-10-13 13:12:57,建议翻译单词的时候，有些单词会有多个意思，尽量显示出来,功能需求,翻译单词时显示多义项
2025-10-13 18:31:24,建议要整句翻译一个句子翻译,功能需求,整句翻译，理解句子整体意思
2025-10-13 20:43:39,建议加上及物动词与不及物动词的分别释义，并多举例句帮助思考,功能需求,学习语法，理解动词用法
2025-10-15 19:01:19,翻译很不错，但我希望的是，能够更完善一点,其他功能需求,希望功能更完善，提升使用体验
2025-10-16 20:25:48,可以填写自己的英语吗？并且可以换声音。,翻译语言扩展,输入英语原文，获取中文翻译
2025-10-17 20:42:53,能不能一各自对一个单词的翻译？,功能需求,学习单词，查看单个单词翻译
2025-10-19 15:09:15,翻译过后把题目的答案也弄出来。,功能需求,辅助解题，获取题目答案
2025-10-19 15:32:07,希望可以点读自己写的，而不是点读本文中印刷出来的谢谢,功能需求,点读自己书写的内容
2025-10-19 20:25:20,把一些未收录的单词也收录一下。,功能需求,学习积累，收录未学过的单词
2025-10-19 21:13:46,可以加入收藏单词这个东西,单词本收藏,学习积累，保存生词复习
2025-10-19 22:26:55,建议：把写在上面的答案一同翻译了,功能需求,翻译题目时同步翻译答案
2025-10-20 17:37:27,建议添加一个选词默写,单词本收藏,学习积累，保存生词复习默写
2025-10-20 20:43:03,能不能让他圈出来翻译的？,功能需求,查看翻译时标记对应原文位置
2025-10-22 21:08:21,可以增加个翻译文言文功能,翻译语言扩展,学习古文，翻译文言文内容
2025-10-23 20:15:33,希望能更多功能性,其他功能需求,希望增加更多实用功能
2025-10-23 21:09:56,不能把英语分成很多个部分吗。,功能需求,学习语法，拆分英语句子结构
2025-10-25 09:55:20,如果还能将手写的字也翻译就更好了,功能需求,手写文字也能翻译识别
2025-10-25 18:37:26,可以可以收容更多的英文字母吗？,翻译语言扩展,学习英语，翻译更多字母内容
2025-10-26 13:53:42,以后能不能添加拍单题,功能需求,单题拍照翻译，快速获取答案
2025-10-26 22:35:57,为什么没有句子翻译,功能需求,翻译长句子，理解完整语义
2025-10-27 20:31:21,建议可以把自己写的字也翻译。,Feature_Requests,手写文字翻译，辅助学习
2025-10-29 13:17:14,能不能像拍照解题那样出一个选框翻译,功能需求,精准选择文本进行翻译
2025-10-29 18:25:09,为什么没有自动循环？,功能需求,希望自动循环播放翻译内容
2025-10-30 19:32:34,"（＾ｖ＾）非常不错，好用！（∵）
希望以后可以翻译
手写体！
还可以翻译更多语种哦！",翻译语言扩展,翻译更多语种，满足多语言需求
2025-11-01 16:18:11,建议多加一些翻译内容，比如日语。与韩语，俄语这种的,翻译语言扩展,学习外语，翻译日韩俄等语言内容
2025-11-02 20:38:52,就是你可以自动播放下一个吗？我手有点酸,功能需求,翻译后自动播放下一个，减少操作
2025-11-03 21:11:46,没有同义词反义词近义词同音词,功能需求,学习词汇，拓展词义关联
2025-11-03 21:41:36,不能翻译其他语言,翻译语言扩展,需要翻译其他语言内容
2025-11-04 18:59:40,可以在自己写过的翻译吗。这样比较方便,历史记录,查看和复用之前的翻译记录
2025-11-04 20:08:28,一次选多个单词翻译,功能需求,同时翻译多个单词，提高学习效率
2025-11-04 20:40:09,可以弄个古文翻译,翻译语言扩展,学习古文，进行古文到现代文翻译
2025-11-04 23:11:59,都没有意大利文之类的吗,翻译语言扩展,学习外语，翻译非中英文内容
2025-11-05 19:05:52,无法用手机背单词,功能需求,学习积累，保存生词复习
2025-11-07 01:11:53,翻译建议有横版的,功能需求,翻译结果展示，横屏更清晰
2025-11-08 10:55:13,你们以后可以搜索题目的时候真接就可以搜索出来,其他功能需求,直接搜索题目获取答案
2025-11-08 11:35:46, 不可以两页同时拍照。,功能需求,多页文档同时翻译，提高效率
2025-11-09 09:56:58,建议长按文字能复制。,功能需求,快速复制翻译结果或原文
2025-11-09 14:13:49,逐句翻译，不要整篇翻译,功能需求,逐句翻译，避免整体翻译
2025-11-09 20:06:39,还不戳，希望以后能出个看小说的功能。比如书名搜书。,功能需求,阅读小说，通过书名搜索书籍
2025-11-11 16:43:53,这个只能一个单词，一个单词的思维太杂乱了，为什么不能像以前一样整个整个的？,功能需求,希望翻译整个句子而非单个单词
2025-11-12 18:47:30,可以把答案给放上去，然后翻译一句话。,功能需求,翻译时显示答案并翻译句子
2025-11-12 18:47:49,填加美语、俄语、日语……语颜,翻译语言扩展,学习多语言，满足不同语言需求
2025-11-12 19:41:30,不错但让产品多点功能,功能需求,增加更多实用功能提升体验
2025-11-13 06:40:38,他要是可以提背就好了。,功能需求,背诵单词或句子，辅助记忆
2025-11-14 19:25:08,怎么没有翻译文言文的,翻译语言扩展,学习古文，翻译文言文内容
2025-11-14 20:20:19,只能英文对中文吗🤔如果能搞多点语言就好了,翻译语言扩展,多语言学习，支持更多翻译方向
2025-11-15 13:25:13,让文言文也可以翻译。,翻译语言扩展,学习古文，将文言文翻译成现代汉语
2025-11-15 20:35:14,出一个翻译文言文的,翻译语言扩展,学习古文，将文言文翻译成现代汉语
2025-11-16 14:49:58,可以一句一句的点读翻译。还可以设置勾选随身听,功能需求,逐句点读，随身听设置
2025-11-16 15:13:22,能不能加个复制的功能,功能需求,快速复制翻译结果到剪贴板
