content_type,material_source,subject,grade_level,usage_scenario,confidence,image_file,time_period,labeled_at,error,description
,,,,,,拍照翻译列表 (28)-2.jpg,weekend,2025-12-19T18:08:09.023222,请求失败 (尝试 3/3): API错误: Too many requests,
,,,,,,拍照翻译列表 (27)-2.jpg,weekend,2025-12-19T18:08:09.024024,请求失败 (尝试 3/3): API错误: Too many requests,
,,,,,,拍照翻译列表 (26)-2.jpg,weekend,2025-12-19T18:08:09.083030,请求失败 (尝试 3/3): API错误: Too many requests,
other,exam_paper,biology,grade_10_12,doing_exercises,high,拍照翻译列表 (30)-2.jpg,weekend,2025-12-19T18:08:09.220443,,
screen_capture,screen_capture,other,unclear,unclear,high,拍照翻译列表 (29)-3.jpg,weekend,2025-12-19T18:08:09.221972,,
reading_comprehension,homework_book,english,grade_7_9,doing_homework,high,拍照翻译列表 (3)-1.jpg,weekend,2025-12-19T18:08:09.223624,,
writing_assignment,handout,english,grade_7_9,reading_extra,high,拍照翻译列表 (30)-1.jpg,weekend,2025-12-19T18:08:09.264246,,
exam_paper,exam_paper,english,grade_10_12,reviewing_exam,high,拍照翻译列表 (30)-3.jpg,weekend,2025-12-19T18:08:09.295176,,
translation_exercise,homework_book,english,grade_7_9,doing_homework,high,拍照翻译列表 (21)-2.jpg,weekend,2025-12-19T18:08:09.353355,,
grammar_exercise,exam_paper,english,grade_7_9,doing_exercises,high,拍照翻译列表 (3)-3.jpg,weekend,2025-12-19T18:08:09.368196,,
reading_comprehension,exam_paper,english,grade_7_9,doing_exercises,high,拍照翻译列表 (3)-2.jpg,weekend,2025-12-19T18:08:09.412949,,
writing_assignment,homework_book,chinese,grade_7_9,doing_homework,high,拍照翻译列表 (29)-2.jpg,weekend,2025-12-19T18:08:09.576184,,
reading_comprehension,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (31)-1.jpg,weekend,2025-12-19T18:08:09.744458,,
,,,,,,拍照翻译列表 (33)-3.jpg,weekend,2025-12-19T18:08:10.511839,请求失败 (尝试 3/3): API错误: Too many requests,
,,,,,,拍照翻译列表 (34)-1.jpg,weekend,2025-12-19T18:08:10.542830,请求失败 (尝试 3/3): API错误: Too many requests,
cloze_test,exam_paper,english,grade_7_9,doing_exercises,high,拍照翻译列表 (26)-3.jpg,weekend,2025-12-19T18:08:10.553086,,
homework_worksheet,homework_book,english,grade_7_9,doing_homework,high,拍照翻译列表 (25)-3.jpg,weekend,2025-12-19T18:08:10.658883,,
dialogue_text,official_textbook,english,grade_7_9,previewing,high,拍照翻译列表 (31)-2.jpg,weekend,2025-12-19T18:08:10.685134,,
writing_assignment,handout,english,grade_7_9,doing_exercises,high,拍照翻译列表 (32)-3.jpg,weekend,2025-12-19T18:08:10.694802,,
reading_comprehension,handout,english,grade_7_9,doing_exercises,high,拍照翻译列表 (29)-1.jpg,weekend,2025-12-19T18:08:10.798742,,
reading_comprehension,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (26)-1.jpg,weekend,2025-12-19T18:08:10.799980,,
reading_passage,handout,english,grade_7_9,reading_extra,high,拍照翻译列表 (25)-2.jpg,weekend,2025-12-19T18:08:10.800924,,
translation_exercise,homework_book,english,grade_7_9,doing_homework,high,拍照翻译列表 (34)-3.jpg,weekend,2025-12-19T18:08:11.012445,,
writing_assignment,homework_book,english,grade_4_6,doing_homework,high,拍照翻译列表 (32)-1.jpg,weekend,2025-12-19T18:08:11.025177,,
reading_passage,official_textbook,chinese,grade_4_6,previewing,high,拍照翻译列表 (35)-1.jpg,weekend,2025-12-19T18:08:11.875818,,
writing_assignment,exam_paper,english,grade_10_12,doing_exercises,high,拍照翻译列表 (35)-2.jpg,weekend,2025-12-19T18:08:12.033920,,
homework_worksheet,homework_book,english,grade_4_6,doing_homework,high,拍照翻译列表 (4)-1.jpg,weekend,2025-12-19T18:08:12.034889,,
cloze_test,homework_book,english,grade_7_9,doing_homework,high,拍照翻译列表 (35)-3.jpg,weekend,2025-12-19T18:08:12.073326,,
reading_comprehension,screen_capture,english,grade_7_9,doing_exercises,high,拍照翻译列表 (33)-2.jpg,weekend,2025-12-19T18:08:12.305532,,
vocabulary_exercise,workbook,english,grade_4_6,doing_exercises,high,拍照翻译列表 (33)-1.jpg,weekend,2025-12-19T18:08:12.383524,,
reading_comprehension,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (36)-3.jpg,weekend,2025-12-19T18:08:12.432697,,
cloze_test,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (27)-1.jpg,weekend,2025-12-19T18:08:12.563198,,
reading_comprehension,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (34)-2.jpg,weekend,2025-12-19T18:08:12.564564,,这是一份七年级上册英语全品作业本中的阅读理解练习题，包含一篇关于学校菜园种植蔬菜的短文及4道阅读理解题目，题型涉及细节理解和开放性问题，用于学生进行英语阅读练习。
grammar_exercise,homework_book,english,grade_4_6,doing_homework,high,拍照翻译列表 (36)-2.jpg,weekend,2025-12-19T18:08:12.727570,,
dialogue_text,official_textbook,english,grade_4_6,previewing,high,拍照翻译列表 (40)-2.jpg,weekend,2025-12-19T18:08:12.774039,,
reading_passage,handout,english,grade_4_6,reading_extra,medium,拍照翻译列表 (32)-2.jpg,weekend,2025-12-19T18:08:13.085035,,
cloze_test,exam_paper,english,grade_10_12,doing_exercises,high,拍照翻译列表 (38)-2.jpg,weekend,2025-12-19T18:08:13.489480,,
reading_comprehension,homework_book,english,grade_4_6,doing_homework,high,拍照翻译列表 (36)-4.jpg,weekend,2025-12-19T18:08:13.512648,,
dialogue_text,homework_book,english,grade_4_6,doing_homework,high,拍照翻译列表 (37)-2.jpg,weekend,2025-12-19T18:08:13.653517,,
reading_comprehension,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (4)-3.jpg,weekend,2025-12-19T18:08:13.673582,,
reading_comprehension,exam_paper,english,grade_7_9,doing_exercises,high,拍照翻译列表 (39)-2.jpg,weekend,2025-12-19T18:08:13.678615,,
reading_passage,supplementary_book,english,grade_4_6,reading_extra,high,拍照翻译列表 (37)-1.jpg,weekend,2025-12-19T18:08:13.682746,,
reading_comprehension,exam_paper,english,grade_10_12,reviewing_exam,high,拍照翻译列表 (38)-1.jpg,weekend,2025-12-19T18:08:13.846085,,
cloze_test,exam_paper,english,grade_7_9,doing_exercises,high,拍照翻译列表 (39)-1.jpg,weekend,2025-12-19T18:08:13.891730,,
reading_comprehension,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (44)-1.jpg,weekend,2025-12-19T18:08:13.968165,,这是一篇初中英语阅读理解练习，来自配套练习册，内容是关于新墨西哥之旅的记叙文，包含阅读理解题目，学生正在做练习。
reading_comprehension,homework_book,english,grade_4_6,doing_homework,high,拍照翻译列表 (36).jpg,weekend,2025-12-19T18:08:13.983086,,这是一份小学高年级（4-6年级）的英语阅读理解作业，来自学生作业本，包含5道选择题，涉及方位、动物分类、景点和饮食相关词汇，有手写答案和批改痕迹，学生正在完成作业。
writing_assignment,handout,english,grade_7_9,doing_exercises,high,拍照翻译列表 (4)-2.jpg,weekend,2025-12-19T18:08:14.005429,,
vocabulary_exercise,homework_book,english,grade_7_9,doing_homework,high,拍照翻译列表 (44)-2.jpg,weekend,2025-12-19T18:08:14.133443,,
vocabulary_exercise,workbook,english,grade_4_6,doing_exercises,high,拍照翻译列表 (48)-1.jpg,weekend,2025-12-19T18:08:14.499570,,
other,other,unclear,unclear,unclear,high,拍照翻译列表 (5)-1.jpg,weekend,2025-12-19T18:08:14.531816,,
exam_paper,exam_paper,math,grade_10_12,reviewing_exam,high,拍照翻译列表 (49).jpg,weekend,2025-12-19T18:08:14.746623,,
reading_comprehension,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (48)-2.jpg,weekend,2025-12-19T18:08:14.779139,,
reading_passage,supplementary_book,english,grade_7_9,reading_extra,medium,拍照翻译列表 (40)-1.jpg,weekend,2025-12-19T18:08:15.179710,,
vocabulary_exercise,homework_book,english,grade_4_6,doing_homework,high,拍照翻译列表 (43)-1.jpg,weekend,2025-12-19T18:08:15.600842,,
reading_comprehension,exam_paper,english,grade_7_9,doing_exercises,high,拍照翻译列表 (5)-2.jpg,weekend,2025-12-19T18:08:16.013456,,
reading_comprehension,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (42)-2.jpg,weekend,2025-12-19T18:08:16.050104,,
reading_passage,official_textbook,english,grade_7_9,previewing,high,拍照翻译列表 (45)-2.jpg,weekend,2025-12-19T18:08:16.112002,,
reading_comprehension,official_textbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (42)-1.jpg,weekend,2025-12-19T18:08:16.192446,,
reading_comprehension,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (46)-1.jpg,weekend,2025-12-19T18:08:16.242223,,
homework_worksheet,homework_book,english,grade_4_6,doing_homework,high,拍照翻译列表 (41)-2.jpg,weekend,2025-12-19T18:08:16.288948,,
grammar_exercise,official_textbook,english,grade_4_6,previewing,high,拍照翻译列表 (41)-1.jpg,weekend,2025-12-19T18:08:16.313069,,
grammar_exercise,official_textbook,english,grade_4_6,previewing,high,拍照翻译列表 (45)-1.jpg,weekend,2025-12-19T18:08:16.654370,,
grammar_exercise,official_textbook,english,grade_7_9,previewing,high,拍照翻译列表 (43)-2.jpg,weekend,2025-12-19T18:08:16.754560,,
reading_comprehension,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (47)-2.jpg,weekend,2025-12-19T18:08:16.792555,,
vocabulary_exercise,workbook,english,grade_1_3,doing_exercises,high,拍照翻译列表 (53)-1.jpg,weekend,2025-12-19T18:08:16.994189,,
writing_assignment,official_textbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (52)-1.jpg,weekend,2025-12-19T18:08:17.034881,,
grammar_exercise,official_textbook,english,grade_7_9,previewing,high,拍照翻译列表 (51)-1.jpg,weekend,2025-12-19T18:08:17.056479,,
reading_comprehension,screen_capture,english,grade_7_9,doing_exercises,high,拍照翻译列表 (54)-2.jpg,weekend,2025-12-19T18:08:17.132272,,
cloze_test,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (52)-2.jpg,weekend,2025-12-19T18:08:17.174929,,
,,,,,,拍照翻译列表 (50)-2.jpg,weekend,2025-12-19T18:08:17.232194,请求失败 (尝试 3/3): API错误: Too many requests,
reading_comprehension,supplementary_book,english,grade_7_9,doing_exercises,high,拍照翻译列表 (5)-3.jpg,weekend,2025-12-19T18:08:17.384860,,
,,,,,,拍照翻译列表 (53)-2.jpg,weekend,2025-12-19T18:08:17.483452,请求失败 (尝试 3/3): API错误: Too many requests,
,,,,,,拍照翻译列表 (57)-1.jpg,weekend,2025-12-19T18:08:17.527927,请求失败 (尝试 3/3): API错误: Too many requests,
,,,,,,拍照翻译列表 (55)-2.jpg,weekend,2025-12-19T18:08:17.534187,请求失败 (尝试 3/3): API错误: Too many requests,
,,,,,,拍照翻译列表 (56)-2.jpg,weekend,2025-12-19T18:08:17.538870,请求失败 (尝试 3/3): API错误: Too many requests,
reading_passage,official_textbook,english,grade_7_9,previewing,high,拍照翻译列表 (46)-2.jpg,weekend,2025-12-19T18:08:17.552746,,
,,,,,,拍照翻译列表 (57)-2.jpg,weekend,2025-12-19T18:08:17.564548,请求失败 (尝试 3/3): API错误: Too many requests,
homework_worksheet,homework_book,english,grade_4_6,doing_homework,high,拍照翻译列表 (50)-1.jpg,weekend,2025-12-19T18:08:17.828192,,
dialogue_text,official_textbook,english,grade_4_6,previewing,high,拍照翻译列表 (58)-1.jpg,weekend,2025-12-19T18:08:17.924815,,
reading_comprehension,exam_paper,english,grade_7_9,doing_exercises,high,拍照翻译列表 (47)-1.jpg,weekend,2025-12-19T18:08:17.949079,,
reading_comprehension,workbook,english,grade_4_6,doing_exercises,high,拍照翻译列表 (58)-2.jpg,weekend,2025-12-19T18:08:18.017282,,
dialogue_text,official_textbook,english,grade_4_6,previewing,high,拍照翻译列表 (6)-2.jpg,weekend,2025-12-19T18:08:18.044004,,
vocabulary_exercise,workbook,english,grade_4_6,doing_exercises,high,拍照翻译列表 (60)-1.jpg,weekend,2025-12-19T18:08:18.093202,,
reading_comprehension,official_textbook,english,grade_7_9,previewing,high,拍照翻译列表 (6)-1.jpg,weekend,2025-12-19T18:08:18.145374,,
vocabulary_exercise,homework_book,english,grade_7_9,doing_homework,high,拍照翻译列表 (54)-1.jpg,weekend,2025-12-19T18:08:18.304020,,
vocabulary_exercise,handout,english,grade_7_9,doing_exercises,high,拍照翻译列表 (61)-2.jpg,weekend,2025-12-19T18:08:18.652638,,
,,,,,,拍照翻译列表 (61)-1.jpg,weekend,2025-12-19T18:08:18.862033,请求失败 (尝试 3/3): API错误: Too many requests,
reading_passage,official_textbook,english,grade_7_9,previewing,high,拍照翻译列表 (59)-1.jpg,weekend,2025-12-19T18:08:19.078507,,
cloze_test,exam_paper,english,grade_7_9,doing_exercises,high,拍照翻译列表 (62)-2.jpg,weekend,2025-12-19T18:08:19.129319,,
other,screen_capture,english,grade_7_9,doing_exercises,high,拍照翻译列表 (60)-2.jpg,weekend,2025-12-19T18:08:19.232667,,
grammar_exercise,homework_book,english,grade_4_6,doing_homework,high,拍照翻译列表 (64)-1.jpg,weekend,2025-12-19T18:08:19.234857,,
homework_worksheet,homework_book,english,grade_7_9,doing_homework,high,拍照翻译列表 (65)-1.jpg,weekend,2025-12-19T18:08:19.302370,,
,,,,,,拍照翻译列表 (64)-2.jpg,weekend,2025-12-19T18:08:19.371820,请求失败 (尝试 3/3): API错误: Too many requests,
vocabulary_exercise,homework_book,english,grade_4_6,doing_homework,high,拍照翻译列表 (56)-1.jpg,weekend,2025-12-19T18:08:19.383659,,
cloze_test,official_textbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (65)-2.jpg,weekend,2025-12-19T18:08:19.393338,,
grammar_exercise,official_textbook,english,grade_7_9,previewing,high,拍照翻译列表 (62)-1.jpg,weekend,2025-12-19T18:08:19.486099,,
reading_passage,official_textbook,english,grade_7_9,previewing,high,拍照翻译列表 (51)-2.jpg,weekend,2025-12-19T18:08:19.495999,,这是一篇英语教材课文，标题为《The Monarch's Journey》，内容介绍黑脉金斑蝶的迁徙及科学家对其导航方式的研究，适合初中（7-9年级）学生预习使用，排版精美，有蝴蝶插图和地图插图。
reading_comprehension,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (69)-2.jpg,weekend,2025-12-19T18:08:19.762993,,
reading_comprehension,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (69)-1.jpg,weekend,2025-12-19T18:08:19.831929,,
,,,,,,拍照翻译列表 (68)-1.jpg,weekend,2025-12-19T18:08:19.841620,请求失败 (尝试 3/3): API错误: Too many requests,
reading_passage,screen_capture,other,unclear,unclear,high,拍照翻译列表 (63)-1.jpg,weekend,2025-12-19T18:08:19.893258,,
reading_passage,screen_capture,english,grade_7_9,unclear,high,拍照翻译列表 (7)-3.jpg,weekend,2025-12-19T18:08:20.033523,,
reading_comprehension,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (55)-1.jpg,weekend,2025-12-19T18:08:20.184913,,这是一份初中英语练习册中的阅读理解材料，包含阅读文章和选择题，还有词汇短语讲解，学生正在做相关练习。
cloze_test,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (70)-1.jpg,weekend,2025-12-19T18:08:20.302793,,
grammar_exercise,homework_book,english,grade_7_9,doing_homework,high,拍照翻译列表 (59)-2.jpg,weekend,2025-12-19T18:08:20.394127,,
other,homework_book,math,grade_4_6,doing_homework,high,拍照翻译列表 (66)-1.jpg,weekend,2025-12-19T18:08:20.454799,,
writing_assignment,exam_paper,english,grade_10_12,doing_exercises,high,拍照翻译列表 (66)-2.jpg,weekend,2025-12-19T18:08:20.493023,,
writing_assignment,homework_book,english,grade_7_9,doing_homework,high,拍照翻译列表 (67)-1.jpg,weekend,2025-12-19T18:08:20.632824,,
vocabulary_exercise,homework_book,english,grade_4_6,doing_homework,high,拍照翻译列表 (72)-1.jpg,weekend,2025-12-19T18:08:20.833262,,
reading_passage,exam_paper,english,grade_7_9,reviewing_exam,high,拍照翻译列表 (7)-1.jpg,weekend,2025-12-19T18:08:20.868331,,
reading_comprehension,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (72)-2.jpg,weekend,2025-12-19T18:08:20.920106,,
reading_comprehension,screen_capture,english,grade_7_9,doing_exercises,high,拍照翻译列表 (71)-1.jpg,weekend,2025-12-19T18:08:21.025744,,
reading_comprehension,workbook,chinese,grade_7_9,doing_exercises,high,拍照翻译列表 (63)-2.jpg,weekend,2025-12-19T18:08:21.082668,,
reading_comprehension,homework_book,english,grade_10_12,doing_homework,high,拍照翻译列表 (70)-2.jpg,weekend,2025-12-19T18:08:21.182431,,
grammar_exercise,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (75)-2.jpg,weekend,2025-12-19T18:08:21.202572,,
vocabulary_exercise,official_textbook,english,grade_4_6,previewing,high,拍照翻译列表 (74)-2.jpg,weekend,2025-12-19T18:08:21.243471,,
dialogue_text,official_textbook,english,grade_4_6,previewing,high,拍照翻译列表 (68)-2.jpg,weekend,2025-12-19T18:08:21.572717,,
reading_comprehension,handout,english,grade_7_9,doing_exercises,high,拍照翻译列表 (71)-2.jpg,weekend,2025-12-19T18:08:21.672649,,
cloze_test,exam_paper,english,grade_10_12,doing_exercises,high,拍照翻译列表 (77)-2.jpg,weekend,2025-12-19T18:08:21.719049,,
,,,,,,拍照翻译列表 (76)-1.jpg,weekend,2025-12-19T18:08:21.720036,请求失败 (尝试 3/3): API错误: Too many requests,
,,,,,,拍照翻译列表 (77)-1.jpg,weekend,2025-12-19T18:08:21.723315,请求失败 (尝试 3/3): API错误: Too many requests,
,,,,,,拍照翻译列表 (76)-2.jpg,weekend,2025-12-19T18:08:21.764833,请求失败 (尝试 3/3): API错误: Too many requests,
reading_passage,screen_capture,other,unclear,unclear,high,拍照翻译列表 (8)-1.jpg,weekend,2025-12-19T18:08:21.912062,,
other,other,chinese,unclear,unclear,low,拍照翻译列表 (73)-1.jpg,weekend,2025-12-19T18:08:22.188407,,
other,screen_capture,other,unclear,unclear,high,拍照翻译列表 (7)-2.jpg,weekend,2025-12-19T18:08:22.337446,,
other,other,unclear,unclear,unclear,high,拍照翻译列表 (82)-1.jpg,weekend,2025-12-19T18:08:22.539734,,
other,other,unclear,unclear,unclear,high,拍照翻译列表 (8)-2.jpg,weekend,2025-12-19T18:08:22.563209,,
dialogue_text,official_textbook,english,grade_4_6,previewing,high,拍照翻译列表 (73)-2.jpg,weekend,2025-12-19T18:08:22.725356,,
reading_passage,handout,english,grade_4_6,doing_exercises,high,拍照翻译列表 (78)-1.jpg,weekend,2025-12-19T18:08:22.855792,,
reading_passage,handout,english,grade_7_9,reading_extra,high,拍照翻译列表 (67)-2.jpg,weekend,2025-12-19T18:08:22.857274,,
,,,,,,拍照翻译列表 (81)-1.jpg,weekend,2025-12-19T18:08:22.932636,请求失败 (尝试 3/3): API错误: Too many requests,
reading_comprehension,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (82)-2.jpg,weekend,2025-12-19T18:08:22.954352,,
reading_comprehension,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (75)-1.jpg,weekend,2025-12-19T18:08:23.054555,,
exam_paper,exam_paper,chinese,grade_7_9,reviewing_exam,high,拍照翻译列表 (84)-2.jpg,weekend,2025-12-19T18:08:23.093800,,
reading_comprehension,workbook,english,grade_4_6,doing_exercises,high,拍照翻译列表 (85)-2.jpg,weekend,2025-12-19T18:08:23.247695,,
reading_passage,workbook,english,grade_7_9,doing_exercises,medium,拍照翻译列表 (74)-1.jpg,weekend,2025-12-19T18:08:23.344572,,
,,,,,,拍照翻译列表 (83).jpg,weekend,2025-12-19T18:08:23.433384,请求失败 (尝试 3/3): API错误: Too many requests,
grammar_exercise,homework_book,english,grade_4_6,doing_homework,high,拍照翻译列表 (8)-3.jpg,weekend,2025-12-19T18:08:23.579179,,
vocabulary_exercise,workbook,english,grade_4_6,doing_exercises,high,拍照翻译列表 (81)-2.jpg,weekend,2025-12-19T18:08:23.584946,,
reading_comprehension,homework_book,english,grade_4_6,doing_homework,high,拍照翻译列表 (80)-2.jpg,weekend,2025-12-19T18:08:23.775676,,
reading_comprehension,workbook,english,grade_7_9,doing_exercises,high,拍照翻译列表 (79)-1.jpg,weekend,2025-12-19T18:08:23.933250,,
grammar_exercise,official_textbook,english,grade_7_9,previewing,high,拍照翻译列表 (79)-2.jpg,weekend,2025-12-19T18:08:24.114017,,
